"product_id"	"product_name"	"amount"	"return_amount"	"promotion_code"	"tag"	"desc"	"image"	"category_id"	"add_date"	"edit_date"	"status"	"sale_count"	"is_show"	"poster"	"text_desc"
"1"	"VIP会员"	"88.00"	"0.00"	"VIP"	"VIP"	""	""	"0"	"2019/3/10 00:45:24"	"2019/3/10 00:45:24"	"0"	"0"	"1"	""	""
"623676494886998016"	"test"	"1.00"	"0.50"	"RHHZLRHQ"	""	"<p>testest</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/2a32f632-56ff-409f-9b80-8417b0546482.png"	"3"	"2019/3/14 16:04:55"	"2019/3/14 16:04:55"	"0"	"0"	"0"	""	""
"623677336599924736"	"test"	"1.00"	"0.50"	"KCGVYJDC"	""	"<p>testest</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/2a32f632-56ff-409f-9b80-8417b0546482.png"	"3"	"2019/3/14 16:06:03"	"2019/3/14 16:06:03"	"2"	"0"	"0"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/face/bec213c7-f258-4d62-a427-bc2e84a1e0cb.png"	""
"623677685566017536"	"新奇迹"	"118.00"	"6.00"	"VIUGAXRT"	"热卖"	"<p><img src=""https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/31a3423e-24ca-486d-9ce1-3e72c3696576.png"" style=""max-width: 100%;"">测千里马永久停码-新奇迹续写传奇微商新奇迹，不死证书，永不掉微商新奇迹(全网公认不封号）没有实力请你选择沉默顶尖奇迹团队不失众望强势回归只为防封而来我们的口号，让你用的放心我们的口号，让你用的省心我们的口号，让你告别封号微商新奇迹官网地址：http://qj.dblaojiu.com备用下载地址：https://yanlai.vip/qj1&nbsp;&nbsp;&nbsp;&nbsp;https://yanlai.vip/qj2新奇迹综合功能教程：&nbsp;&nbsp;&nbsp;&nbsp;http://t.cn/E5HxEY0奇迹团队再次迎来爆发新时代&nbsp;</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/7dd92cc1-b0ea-4db6-bf57-31182f21007d.png"	"4"	"2019/3/14 16:07:24"	"2019/3/17 10:23:02"	"0"	"1"	"0"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/face/1525c312-1631-4dea-b737-caa1e83656a0.png"	""
"624502458063785984"	"抖音短视频清晰度转码软件30天月卡"	"10.00"	"2.80"	"JAKTACLS"	""	"<p><b>使用环境：</b></p><p>支持Windows7/8/10系统运行</p><p><br></p><p><b>使用事项：</b></p><p>本软件可对未上传的抖音短视频进行转码，使其上传至抖音平台时以高清分辨率展示</p><p><br></p><p><b>使用时效：</b></p><p>激活码在您充值使用时失效，过期后无法继续使用</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/42a7f887-20af-46d6-9117-c39c78ecaf8e.png"	"3"	"2019/3/16 22:44:41"	"2019/3/16 22:44:41"	"1"	"1"	"0"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/face/8cc80795-0168-488b-a672-8f6571b26367.png"	""
"624537672894910464"	"新奇迹"	"118.00"	"6.00"	"BMBJWQZP"	""	"<div>&nbsp;千里马永久停码-新奇迹续写传奇微商新奇迹，不死证书，永不掉微商新奇迹(全网公认不封号）没有实力请你选择沉默顶尖奇迹团队不失众望强势回归只为防封而来我们的口号，让你用的放心我们的口号，让你用的省心我们的口号，让你告别封号微商新奇迹官网地址：http://qj.dblaojiu.com备用下载地址：https://yanlai.vip/qj1&nbsp;&nbsp;&nbsp;&nbsp;https://yanlai.vip/qj2新奇迹综合功能教程：&nbsp;&nbsp;&nbsp;&nbsp;http://t.cn/E5HxEY0奇迹团队再次迎来爆发新时代<br>
</div>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/e3c5738a-d86a-4c8d-bbec-7787318bfa51.png"	"4"	"2019/3/17 01:04:39"	"2019/3/17 01:04:39"	"0"	"0"	"0"	""	""
"624537689097506816"	"新奇迹"	"118.00"	"6.00"	"SUSQZQSO"	""	"<div>&nbsp;千里马永久停码-新奇迹续写传奇微商新奇迹，不死证书，永不掉微商新奇迹(全网公认不封号）没有实力请你选择沉默顶尖奇迹团队不失众望强势回归只为防封而来我们的口号，让你用的放心我们的口号，让你用的省心我们的口号，让你告别封号微商新奇迹官网地址：http://qj.dblaojiu.com备用下载地址：https://yanlai.vip/qj1&nbsp;&nbsp;&nbsp;&nbsp;https://yanlai.vip/qj2新奇迹综合功能教程：&nbsp;&nbsp;&nbsp;&nbsp;http://t.cn/E5HxEY0奇迹团队再次迎来爆发新时代<br>
</div>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/e3c5738a-d86a-4c8d-bbec-7787318bfa51.png"	"4"	"2019/3/17 01:04:43"	"2019/3/17 01:04:43"	"0"	"0"	"0"	""	""
"624551720927629312"	"1212"	"111.00"	"11.00"	"QUUIYNIJ"	""	"<p>111111111111111</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/0dbbe82e-a274-48e2-8886-649371ea1b86.png"	"3"	"2019/3/17 02:00:28"	"2019/3/17 02:00:28"	"0"	"0"	"0"	""	""
"624678990027689984"	"新奇迹"	"111.00"	"11.00"	"YGVTVUSU"	""	"<p><img src=""https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/636a6e51-53d0-4762-8b89-88fa43baf394.png"" style=""max-width:100%;""><br></p>"	""	"3"	"2019/3/17 10:26:11"	"2019/3/17 10:26:11"	"0"	"0"	"0"	""	""
"624680089056972800"	"测试新商品"	"111.00"	"11.00"	"XKSFGVSF"	""	"<p>啊啊啊啊啊</p>"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/upload/32ec4534-b441-475c-8afd-1fe2e45aacc7.png"	"3"	"2019/3/17 10:30:44"	"2019/3/17 10:30:44"	"0"	"0"	"0"	"https://stack-1251694474.cos.ap-guangzhou.myqcloud.com/face/b3072697-d8f2-47ba-ac77-75687aee2117.png"	""
