"message_id"	"message"	"to_url"	"is_read"	"add_date"	"edit_date"	"user_id"
"622680266539798528"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:03:59"	"2019/3/11 22:13:43"	"620928814838452224"
"622680271086424064"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:00"	"2019/3/11 22:13:43"	"620928814838452224"
"622680271686209536"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:00"	"2019/3/11 22:13:43"	"620928814838452224"
"622680272172748800"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:00"	"2019/3/11 22:13:43"	"620928814838452224"
"622680272659288064"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680273204547584"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680273779167232"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680274286678016"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680274777411584"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680275293310976"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680275859542016"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680276400607232"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:01"	"2019/3/11 22:13:43"	"620928814838452224"
"622680276891340800"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680277453377536"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680278002831360"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680278518730752"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680279084961792"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680279617638400"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:43"	"620928814838452224"
"622680280167092224"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:02"	"2019/3/11 22:13:34"	"620928814838452224"
"622680280754294784"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680281232445440"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680281794482176"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680282322964480"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680282897584128"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680283455426560"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680283971325952"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680284537556992"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:03"	"2019/3/11 22:13:34"	"620928814838452224"
"622680285040873472"	"您有一笔88.88元奖金转入钱包"	"bill"	"1"	"2019/3/11 22:04:04"	"2019/3/11 22:13:34"	"620928814838452224"
